GEOID,sovi,rank,fema_region
g05049,3.7835957920071004,34.0,FEMA_6
g05051,1.1061055797738653,152.0,FEMA_6
g05053,-2.648652731730947,438.0,FEMA_6
g05055,0.08152338973643142,249.0,FEMA_6
g05057,0.8018629541230101,182.0,FEMA_6
g05059,-0.4988063681685687,306.0,FEMA_6
g05061,1.3527819862398363,134.0,FEMA_6
g05063,0.5266528773614471,201.0,FEMA_6
g05065,1.9918161534348344,91.0,FEMA_6
g05067,1.2237612213924616,143.0,FEMA_6
g05069,-0.2862007154663487,282.0,FEMA_6
g05071,0.02020402764972931,259.0,FEMA_6
g05073,1.0021850481210808,162.0,FEMA_6
g05075,3.493949261664552,35.0,FEMA_6
g05077,0.6262183659289109,194.0,FEMA_6
g05079,-3.7375287802277484,477.0,FEMA_6
g05081,0.28185527116583386,225.0,FEMA_6
g05083,0.8602181687953454,175.0,FEMA_6
g05085,-1.8478128070208644,395.0,FEMA_6
g05087,0.3177285443506668,217.0,FEMA_6
g05089,3.034218444338305,50.0,FEMA_6
g05091,-0.7299402605820862,330.0,FEMA_6
g05093,-0.38877203413768546,295.0,FEMA_6
g05095,1.3511314812044932,135.0,FEMA_6
g05097,0.5707149298117369,196.0,FEMA_6
g05099,0.09063566951653257,248.0,FEMA_6
g05101,0.9757265604025158,166.0,FEMA_6
g05103,0.6320471991242557,193.0,FEMA_6
g05105,-1.4807089303120267,381.0,FEMA_6
g05107,2.4694955793501414,67.0,FEMA_6
g05109,-0.0025881154298449116,261.0,FEMA_6
g05111,2.005448051689577,90.0,FEMA_6
g05113,1.0629373766041526,155.0,FEMA_6
g05115,-0.1444301839985364,274.0,FEMA_6
g05117,0.9199744942842474,170.0,FEMA_6
g05119,-1.4770847769717097,380.0,FEMA_6
g05121,1.7250406152284592,112.0,FEMA_6
g05123,-0.2908348697368346,284.0,FEMA_6
g05125,-2.8566877153086287,445.0,FEMA_6
g05127,0.5626628159166641,197.0,FEMA_6
g05129,4.663160298886,20.0,FEMA_6
g05131,1.0348740015336144,159.0,FEMA_6
g05133,1.7482642181068866,107.0,FEMA_6
g05135,3.0397599283563754,49.0,FEMA_6
g05137,2.235088435056806,75.0,FEMA_6
g05139,-0.8422442591124875,341.0,FEMA_6
g05141,1.709709545889002,115.0,FEMA_6
g05143,-0.45875381567879364,300.0,FEMA_6
g05145,-0.7629782108188496,334.0,FEMA_6
g05147,2.05106087038971,83.0,FEMA_6
g05149,1.7278323581561923,111.0,FEMA_6
g06001,-2.2352766618697246,79.0,FEMA_9
g06003,3.8459385679352796,5.0,FEMA_9
g06005,1.2917781313809198,22.0,FEMA_9
g06007,0.6510417424614835,31.0,FEMA_9
g06009,-0.7912178089458058,56.0,FEMA_9
g06011,1.634190469525293,19.0,FEMA_9
g06013,-2.9829279871052132,81.0,FEMA_9
g06015,3.521739446220252,7.0,FEMA_9
g06017,-3.0054873446408896,82.0,FEMA_9
g06019,1.513833384826765,20.0,FEMA_9
g06021,0.5125879747053854,36.0,FEMA_9
g06023,-0.836912915953535,57.0,FEMA_9
g06025,4.782507339884503,3.0,FEMA_9
g06027,1.2016409174676146,24.0,FEMA_9
g06029,-0.07909077676573628,48.0,FEMA_9
g06031,0.5021330855395192,37.0,FEMA_9
g06033,2.1010828818104805,10.0,FEMA_9
g06035,-0.4035072114077427,51.0,FEMA_9
g06037,0.8719632015192516,29.0,FEMA_9
g06039,1.6855101692913046,17.0,FEMA_9
g06041,-1.4645905075354972,67.0,FEMA_9
g06043,0.21440361622683418,42.0,FEMA_9
g06045,1.737375077108048,15.0,FEMA_9
g06047,1.6540646308828564,18.0,FEMA_9
g06049,4.782064045279032,4.0,FEMA_9
g06051,-2.0341334445406827,76.0,FEMA_9
g06053,1.0506849536926337,25.0,FEMA_9
g06055,0.9246212160208526,27.0,FEMA_9
g06057,-1.059668697690098,62.0,FEMA_9
g06059,-0.6008821911823112,53.0,FEMA_9
g06061,-3.0552403401275505,84.0,FEMA_9
g06063,1.9559716046720705,13.0,FEMA_9
g06065,-1.182795020114749,64.0,FEMA_9
g06067,-1.5850208126206566,68.0,FEMA_9
g06069,-1.1043878473867519,63.0,FEMA_9
g06071,-1.354660466175466,65.0,FEMA_9
g06073,-1.6948401851477344,69.0,FEMA_9
g06075,5.289854229202467,1.0,FEMA_9
g06077,-0.5665397542161,52.0,FEMA_9
g06079,-1.0155714341132227,60.0,FEMA_9
g06081,-0.9774572060128986,59.0,FEMA_9
g06083,0.6374146786444724,32.0,FEMA_9
g06085,-2.06576832887258,77.0,FEMA_9
g06087,-0.6810364695429233,54.0,FEMA_9
g06089,0.28012651527491694,40.0,FEMA_9
g06091,1.7005433727651034,16.0,FEMA_9
g06093,0.8553522964936728,30.0,FEMA_9
g06095,-3.3416204684294635,85.0,FEMA_9
g06097,-0.8403637828426141,58.0,FEMA_9
g06099,0.3945069777804224,39.0,FEMA_9
g06101,0.1731696227022619,43.0,FEMA_9
g06103,0.9168685271925648,28.0,FEMA_9
g06105,0.4008655775800805,38.0,FEMA_9
g06107,1.8746274129798843,14.0,FEMA_9
g06109,1.2192891053649548,23.0,FEMA_9
g06111,-1.724965684303037,70.0,FEMA_9
g06113,-1.8330076952970815,73.0,FEMA_9
g06115,-0.6958173193827706,55.0,FEMA_9
g08001,0.7216701717673808,100.0,FEMA_8
g08003,0.3770321995795383,110.0,FEMA_8
g08005,0.3602610990517133,113.0,FEMA_8
g08007,0.17014451157297486,122.0,FEMA_8
g08009,0.16816260300497204,123.0,FEMA_8
g08011,0.15026360546259487,125.0,FEMA_8
g08013,-0.10145332332569018,137.0,FEMA_8
g08014,0.07493035556289274,129.0,FEMA_8
g08015,1.4204964132367788,72.0,FEMA_8
g08017,0.1306537642260861,127.0,FEMA_8
g08019,-1.9177547199506617,220.0,FEMA_8
g08021,5.797837494226798,11.0,FEMA_8
g08023,10.062695629781697,2.0,FEMA_8
g08025,-1.3584437420709214,195.0,FEMA_8
g08027,1.9019407191653104,55.0,FEMA_8
g08029,2.8575240190962754,43.0,FEMA_8
g08031,13.18173035372439,1.0,FEMA_8
g08033,1.087151072059847,86.0,FEMA_8
g08035,-4.4006560380178765,282.0,FEMA_8
g08037,-2.0447533454249647,227.0,FEMA_8
g08039,-3.3873719898187185,263.0,FEMA_8
