,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
MEDAGE_ACS,0.023970146686681557,0.022745607758545415,0.012946259565709228,0.02806766788451579,0.02234263816941544,0.03797810917775641,0.018292480706208293,0.01271418156963203,0.04273324101306317,0.025536211273172835,0.012763493398689665,0.37594060448254407,0.31174145605918646,0.11346976125785363,0.2603454572238054,-0.03708526937218257,0.12547937812259896,0.1578500596985813,0.21027473939463498,0.06564410766348328,0.06634324810263957
BLACK_ACS,-0.0014777719713866527,0.029949292576200395,-0.004627077512570905,0.02274781179475577,0.007321951529904395,0.021333732515886765,-0.02667097154362874,0.02434346198837075,0.030113854243952305,-0.04091690880799676,-0.04629343136324103,0.053934509872786224,0.04232209027887829,-0.10868626360037797,0.09231799455086459,0.015925212902628966,0.4375368004243444,-0.02292967698433908,0.461593419254392,-0.3110807268791327,0.39007945840124125
QNATAM_ACS,0.017338483176223444,0.02729856362561661,0.011059599265150578,-0.01961599974092954,0.033501841369871534,0.02322367687802102,0.008781148476751488,0.009601487336304311,0.025590117423498197,0.028914592014992482,-0.017716135544964342,0.4368961618350762,-0.5478460350881292,-0.3008952652405289,-0.5331774461074839,0.5320857786710911,-0.06327322080671859,0.4424684402416175,-0.06742152347843117,-0.3030127076254386,0.2833200939614222
QASIAN_ACS,-0.013797330305814162,0.011364224071571602,-0.01591490402603873,-0.008457651634333822,-0.010782787140967311,-0.0018781360337202539,0.001773346378044837,-0.012489001659348698,0.013876146042915096,-0.00421171128266761,-0.044676269083247996,0.12154662427310385,-0.1649275804565184,0.19857225800242762,0.21678060989133358,0.327486810225603,0.22781419330299055,0.16107680537034286,0.5129564145560342,-0.09706466311399249,0.33394273016389997
QHISP_ACS,0.043515347590398844,0.0249389529611363,-0.0024295684733503615,0.06752269823350077,0.047578441872013155,0.043879748505560534,0.04295884774434289,0.044950471476500116,0.030493883230157504,0.0403545516404887,0.043106605372236484,0.3282301818174967,0.01548920014725174,0.5596910915198626,0.3692459463586611,-0.19287702426246783,-0.026758974419450902,0.4841073616816275,0.4982532816112105,0.27124089367058385,0.25296197967162914
QAGEDEP_ACS,0.061840261227709026,0.04848208610006901,0.03487198056330851,0.048782211612416394,0.045630084599408045,0.06416218368624714,0.05645920232902433,0.04053867114820634,0.054118779406171366,0.05256126770066792,0.045664388694842004,0.5605226903620988,0.5980803248722887,0.26885151316971667,0.14786717924258802,0.05306045968440938,0.1831041647456112,0.43533540914217633,0.1391776657092339,0.23360151570415838,0.116200816222642
QPUNIT_ACS,0.002169267997599593,-0.008839516806664305,-0.047662595711321296,0.028205860957697875,-0.01387133216469217,-0.005758022071790235,0.0010585624373212286,-0.011978427286763491,-0.008546005834594025,0.012421163443013462,-0.003914042311738576,0.3631583679747079,-0.35476717842784405,-0.04384760928435699,-0.36990805375917857,-0.4299439389309123,-0.3717315727176847,-0.45546727331369175,-0.14443278080591423,-0.1900575808247772,-0.1976153702477533
PRENTER_ACS,0.002086823117330865,0.005394189964356913,0.017365355643688678,-0.014603860826328727,0.011202358475458455,-0.013292293593768871,0.006356447931609813,0.013041467057362166,-0.007968039874279933,0.0033065071278489478,0.027243172088415042,-0.03226003435074895,0.16710973937877244,0.10169556757035124,-0.11408520589165401,0.19079068360635099,0.233398046029772,0.16369114383294708,-0.040319124125234376,0.39984302137882377,0.4573945498052828
QNRRES_ACS,0.021342714132984168,-0.003197992741902307,0.02569441769675016,0.041954104455321356,0.02496484003321845,0.02220677393667425,0.01834440558836342,0.05243190820547902,0.005726396160306624,0.0601900955806101,0.039311132282599665,0.3546284345603971,0.5406838691568333,0.1612584392256663,0.44088351849051577,-0.1446448770791531,0.3297142556344176,0.2838149553763191,-0.2806934641190261,0.6606190198597633,0.16608415441226915
QFEMALE_ACS,0.05062320603014017,0.043253006556563584,-0.01098435886884058,0.0014039225283143386,0.004191702546430029,0.049967975695238274,0.039620203972596864,0.045010084978371806,0.04458068717532641,0.01687764827660007,0.05007780829963527,0.41660278486936697,0.5274800703874591,-0.0865415134143126,-0.3363578596518718,-0.2819352590006232,-0.3495456730670472,0.6449419343748208,0.4817238076531219,-0.5559876913770136,0.051165574629591065
QFHH_ACS,0.02541136126479876,0.04112820967288878,0.00795023960767681,0.03456098648893992,0.017382431518656413,0.029040468136453196,0.020647676223151275,0.038052569080846164,0.021833796680065912,0.043836794439037916,0.0449991805129486,0.557134276130066,0.27119854035212676,-0.03571381973194937,-0.07376854562817392,-0.19485247422098578,0.22086918040752673,0.2103130270431978,0.05931312009706284,-0.1471812838342214,0.5045648098423647
QUNOCCHU_ACS,0.026006267006143856,0.013159390225148318,0.045400939339746565,0.06037492841499494,0.03170025516225761,0.038830717746980874,0.03186131056174388,-0.004809246232309238,0.04502133540966185,0.02514001540537162,-0.02773410557490409,-0.12542205642552623,0.14195858126920002,0.5050779564641148,0.20224805168104393,0.42155785788993383,0.28198273450039163,0.40142346508875004,0.7326453990887248,-0.40603180757564095,-0.2828655259483353
PERCAP_ALT,0.03719043066105449,0.027593849307423327,0.026594749392173447,0.04472847520665466,0.034500032159314624,0.02944651761898239,0.04010389987184869,0.03717294808851421,0.01719298656386787,0.029190138262960286,0.028700668669794295,0.09228133990502363,0.12611820985315417,0.15143577057630872,-0.09523002700449251,0.09866754858985143,0.19136394547393387,0.18676510938687266,0.24779219190774282,-0.15315670742152782,0.19837919580252686
QESL_ALT,0.03594625263335417,0.03069322020727371,-0.0033041025354975783,0.05920767158178979,0.04839922934939235,0.05228753273027267,0.03646484161943467,0.046124104668833474,0.030715035468280395,0.05305742462548008,0.030614020313840223,0.36227354978740656,-0.03782444463239882,0.5856661650565488,0.4974209540903758,-0.0368005548843193,-0.05973981889512259,0.44378912052179165,0.3146096506462377,0.30468302652922247,0.20874494360195817
QCVLUN,0.014409925521537185,0.06320496305725785,0.03163213658692218,0.020170300892381362,0.027289927432049037,0.012816518468424024,0.006108172162324942,0.003317872472800805,0.05347871093703492,0.03749524027635209,0.008361966583154976,0.7443583694916918,-0.16521884961453254,0.3076087327468135,0.345262899351636,0.2501655883433718,0.4004360139751496,-0.17894792793077766,0.13275565690754815,0.41069978569863613,0.27585792221688227
QPOVTY,0.040882642915488134,0.046129611489246124,0.048949233659966514,0.020716959596085677,0.04239476334712706,0.03186062864102043,0.052084490443056776,0.03702029609142884,0.04549390899415578,0.0707169419878896,0.03275260667119495,0.024630642480281822,0.2831988884287421,0.3310060993436713,0.3314678721444656,0.42440472693980313,0.3264044517812937,0.39630137092534046,0.14499005290400419,0.1915508474107121,0.35528638245848754
QMOHO,0.002034273898110634,-0.0030063501042418665,0.03133949197380755,0.009555401084523582,0.01972929627052265,-0.006454642333410845,-0.030835816256135958,-0.011665046848895091,0.009823383143937516,-0.004904896087007472,0.030383715614112745,-0.4667963664176192,-0.01856651428681405,0.27838631618216086,0.07585833632958694,0.31295453069576573,-0.4332149094541726,0.02833947680805339,0.7326004522583334,0.30481445667348306,0.4009114971059624
QED12LES_ALT,0.03790407102611988,0.036221125660791595,0.03835258764908557,0.04725822307371278,0.03778924558405056,0.04553141805709138,0.030459127448703237,0.05480029881047499,0.05257847052584714,0.05988840142054883,0.045415908978371035,0.4478369574546303,0.19058617569597536,0.4876980312776263,0.27203672898023185,0.05841019812695357,0.07944349442823018,-0.05347675683885694,-0.008216341728025003,0.5235311103906437,0.42229939724422705
