GEOID,sovi,rank
g01001,-0.5995586580221383,1918.0
g01003,-0.19149426039340386,1691.0
g01005,-0.00311303356736084,1580.0
g01007,-0.3991473339066558,1819.0
g01009,-0.1245984128996258,1650.0
g01011,-0.1364646390206014,1659.0
g01013,0.1983577689535778,1465.0
g01015,-0.0057656197879291035,1581.0
g01017,1.7448054355928093,698.0
g01019,-1.6677680778772765,2386.0
g01021,-2.425745131203332,2607.0
g01023,-0.6476378565188181,1943.0
g01025,1.058068573470283,1002.0
g01027,0.1096613457556106,1519.0
g01029,-0.6201701125321177,1934.0
g01031,-0.8125615728165677,2025.0
g01033,-0.5515466150469835,1898.0
g01035,2.41374978019811,452.0
g01037,-1.2267754322199609,2222.0
g01039,1.536396251548635,795.0
g01041,-0.4518282680793759,1854.0
g01043,-0.8001125881234517,2018.0
g01045,-0.6794325806432322,1957.0
g01047,3.5505298338416678,250.0
g01049,0.07281529508747253,1541.0
g01051,-2.6234224519116904,2665.0
g01053,0.5585961113023972,1269.0
g01055,0.6324304630642125,1225.0
g01057,0.11723962861916126,1517.0
g01059,-0.05074763530772741,1607.0
g01061,0.09424704542059059,1527.0
g01063,3.078826003588092,317.0
g01065,1.8304356421901886,657.0
g01067,0.5584838959425954,1270.0
g01069,-0.06349772495092798,1617.0
g01071,-1.3865409081595605,2281.0
g01073,-0.44054734374075033,1844.0
g01075,0.6112681156568361,1235.0
g01077,0.23352626002989701,1450.0
g01079,-1.241377028097928,2229.0
g01081,-4.062750810820092,2944.0
g01083,-3.216223745633245,2805.0
g01085,1.7903746142212782,680.0
g01087,4.432082769906458,152.0
g01089,-3.6816656811528023,2887.0
g01091,1.8219499754294326,660.0
g01093,0.7865750629754733,1144.0
g01095,-0.07687388763231251,1622.0
g01097,-0.40418434812225046,1825.0
g01099,0.9824660051890794,1038.0
g01101,0.2795861934123407,1428.0
g01103,-1.1928180220410765,2203.0
g01105,5.496695527733735,101.0
g01107,1.7578446335248803,693.0
g01109,0.4351565850887497,1346.0
g01111,0.5058509104736097,1303.0
g01113,1.8543564952478868,646.0
g01115,-3.670246979093298,2884.0
g01117,-5.741074249102713,3065.0
g01119,6.025837851995888,85.0
g01121,-0.36124956914461437,1799.0
g01123,1.6704679752320581,733.0
g01125,-1.7286481493251795,2406.0
g01127,0.13126949210014138,1501.0
g01129,-3.389680840260893,2842.0
g01131,3.2577907621285322,294.0
g01133,0.30185495919743177,1418.0
g02013,-10.167367417836122,3140.0
g02016,-8.519325753309765,3133.0
g02020,-4.762691584497708,3005.0
g02050,9.828533379470064,17.0
g02060,-3.5164930180948035,2858.0
g02068,-4.407895266110311,2969.0
g02070,7.017127820958583,55.0
g02090,-5.953313212233532,3081.0
g02100,-4.402906271321962,2968.0
g02105,2.669908245289375,402.0
g02110,-5.418295023601943,3050.0
g02122,-3.295551287224841,2820.0
g02130,-2.9624259170212692,2745.0
g02150,-3.6414823697222825,2877.0
g02164,9.441223292229592,20.0
g02170,-5.585675170977428,3058.0
g02180,8.132584294704143,38.0
g02185,-0.19466557720672917,1694.0
g02188,8.682960412966997,32.0
g02195,-3.2756609217851573,2815.0
g02198,-1.5197619653399088,2336.0
g02220,-1.7292874249604209,2407.0
g02230,-4.861369536888017,3010.0
g02240,-4.071081964629054,2946.0
g02261,-4.8447154863699655,3009.0
g02270,13.769675511912633,4.0
g02275,2.277667357390502,494.0
g02282,-4.6514568872143105,2996.0
g02290,8.324500964538574,35.0
g04001,10.039613152540381,15.0
g04003,2.5179709223091806,433.0
g04005,1.196132806287033,935.0
g04007,5.826606024913799,90.0
g04009,0.18777009386157806,1472.0
g04011,-1.2329946572363877,2226.0
g04012,7.371487558076353,51.0
g04013,-0.446532909339732,1849.0
g04015,3.513858407228856,254.0
g04017,5.846507840656756,89.0
g04019,2.247381579380444,507.0
g04021,-0.5640677233024052,1903.0
g04023,7.551625744379161,49.0
g04025,2.841472534884045,362.0
g04027,4.732446263690221,133.0
g05001,0.5084128027241622,1299.0
g05003,-0.43591677321864764,1840.0
g05005,4.698193714762971,135.0
g05007,-2.1696676215862682,2545.0
g05009,0.8854670669717979,1087.0
g05011,2.042583065111054,575.0
g05013,-2.5353152753527803,2636.0
g05015,1.797982651866029,677.0
g05017,5.067362560718527,124.0
g05019,2.641650000630115,407.0
g05021,0.6767482144831363,1202.0
g05023,1.768032601399353,688.0
g05025,-1.710511592950203,2397.0
g05027,1.8592805183271888,645.0
g05029,0.42752618056644576,1348.0
g05031,-0.5999248572570258,1919.0
g05033,-0.26584074557606896,1740.0
g05035,1.1897458805054095,940.0
g05037,0.6598061191818458,1216.0
g05039,0.38207321003299044,1376.0
g05041,3.2411582088620863,297.0
g05043,0.7394850670144736,1170.0
g05045,-3.2258551914839955,2808.0
g05047,1.35285432763646,869.0
g05049,3.995182387060296,194.0
g05051,2.0711105060684414,560.0
g05053,-3.1330984374374196,2789.0
g05055,-0.8669090935440662,2053.0
g05057,2.3270951924734224,482.0
g05059,-0.5126614192011713,1881.0
g05061,3.1764814042123115,305.0
g05063,0.6766182905079572,1203.0
g05065,1.9339684602312321,619.0
g05067,1.6550643140723253,737.0
g05069,1.4850507352971918,814.0
g05071,-0.08560956000578224,1626.0
g05073,3.863735366746238,210.0
g05075,2.838824825118372,363.0
g05077,3.2137565375420842,300.0
g05079,-3.85113790432802,2918.0
g05081,0.8307817188817831,1124.0
g05083,0.6981790609526286,1192.0
g05085,-2.3874265688294862,2598.0
g05087,-0.4039535532345975,1824.0
g05089,3.192244131934962,302.0
g05091,-0.2582156419132262,1731.0
g05093,0.7552599044330939,1161.0
g05095,4.034196221834327,188.0
g05097,1.9581185590877168,605.0
g05099,1.393449250433592,857.0
g05101,-0.028752312607234876,1590.0
g05103,2.0306246229647598,579.0
g05105,-1.2499050922801644,2236.0
g05107,6.092481652912085,81.0
g05109,0.5105445421753294,1298.0
g05111,2.230130100290609,511.0
g05113,1.42294047557782,838.0
g05115,-0.8498912938747547,2046.0
g05117,1.7160054490332812,710.0
g05119,-0.6089281625112024,1924.0
g05121,1.5987496598804256,760.0
g05123,1.2005970220012308,931.0
g05125,-2.9621978705757304,2744.0
g05127,0.3715719811287752,1380.0
g05129,4.646381821672352,141.0
g05131,0.2692335140255838,1433.0
g05133,2.7581376111065214,382.0
g05135,3.0656340771197823,319.0
g05137,2.91407301740797,339.0
g05139,0.5872515408059518,1249.0
g05141,2.3067380861223223,487.0
g05143,-1.287443097155303,2250.0
g05145,-1.135551611480396,2173.0
g05147,3.87766456992611,207.0
g05149,2.0676811232405674,561.0
g06001,-2.9595449881556384,2743.0
g06003,-0.43552775627555196,1839.0
g06005,-0.6020998590778088,1920.0
g06007,1.066925395054194,1001.0
g06009,-0.4999960094478213,1869.0
g06011,2.606855607356089,415.0
g06013,-3.30014953065795,2821.0
g06015,1.7578923862214486,692.0
