GEOID,sovi,rank,state_id
g06001,-0.6325618935015771,33.0,g06
g06003,-1.1324110622380863,40.0,g06
g06005,0.05425724152948347,23.0,g06
g06007,-0.011175311086289112,24.0,g06
g06009,-0.22799442909508705,30.0,g06
g06011,0.3743434996983743,20.0,g06
g06013,-0.13814664326724824,27.0,g06
g06015,2.8430158029446653,9.0,g06
g06017,-4.267482149568284,57.0,g06
g06019,1.6987533636588543,15.0,g06
g06021,2.7412349745103857,10.0,g06
g06023,-1.670127567523298,48.0,g06
g06025,3.84437808953723,5.0,g06
g06027,-0.6629368780438363,34.0,g06
g06029,2.440795188703138,11.0,g06
g06031,5.500011464507815,1.0,g06
g06033,0.8243768051189505,18.0,g06
g06035,4.631619745304935,4.0,g06
g06037,0.21638845932439205,22.0,g06
g06039,3.8315142000185736,6.0,g06
g06041,-1.4792090666045201,46.0,g06
g06043,-0.08858299401474068,26.0,g06
g06045,0.29892050259091,21.0,g06
g06047,2.393812167498558,12.0,g06
g06049,5.174921857341388,3.0,g06
g06051,-4.295685020893929,58.0,g06
g06053,3.285979140543238,8.0,g06
g06055,1.7300163654480705,14.0,g06
g06057,-2.768976127555992,53.0,g06
g06059,-0.7841843406010525,35.0,g06
g06061,-4.057573814339588,56.0,g06
g06063,-0.9346881085281284,37.0,g06
g06065,-1.7800025388489993,49.0,g06
g06067,-2.8995737258677794,54.0,g06
g06069,-0.01624985644799304,25.0,g06
g06071,-2.5847787828666258,52.0,g06
g06073,-1.56538420462825,47.0,g06
g06075,5.425293247241399,2.0,g06
g06077,-0.7921730194358703,36.0,g06
g06079,-0.26198946914854243,31.0,g06
g06081,-1.2783918968942012,44.0,g06
g06083,1.9975267758113535,13.0,g06
g06085,-1.2489458278497854,43.0,g06
g06087,-0.2804166998721025,32.0,g06
g06089,-1.0750778942611412,39.0,g06
g06091,-1.9082226572190224,51.0,g06
g06093,-0.1731886486960274,28.0,g06
g06095,-3.711348404349991,55.0,g06
g06097,-1.1325307843784609,41.0,g06
g06099,0.498414600162013,19.0,g06
g06101,0.8972840222962224,17.0,g06
g06103,1.2396848624374024,16.0,g06
g06105,-1.4052232534644253,45.0,g06
g06107,3.6326396791652678,7.0,g06
g06109,-0.20217909759699715,29.0,g06
g06111,-1.238506627700495,42.0,g06
g06113,-1.8129337309400129,50.0,g06
g06115,-0.9388162495915146,38.0,g06
g13001,0.4774402725547081,70.0,g13
g13003,0.7444911341097854,64.0,g13
g13005,0.1250882665767009,80.0,g13
g13007,0.29291050793269,75.0,g13
g13009,0.0019306256967283053,82.0,g13
g13011,-0.017621782730856128,84.0,g13
g13013,-0.11418619977053766,88.0,g13
g13015,-3.0441965044706403,140.0,g13
g13017,1.4045387767240765,37.0,g13
g13019,1.3124291253206581,41.0,g13
g13021,-0.8582146352234391,104.0,g13
g13023,-0.541303658786633,96.0,g13
g13025,-0.481690541315965,95.0,g13
g13027,2.0356945853775708,24.0,g13
g13029,-4.409649260673078,151.0,g13
g13031,-2.8695610217022804,137.0,g13
g13033,-0.3953109440920437,93.0,g13
g13035,-0.9022222494085645,106.0,g13
g13037,8.4824902605639,1.0,g13
g13039,-4.851624645795552,156.0,g13
g13043,1.8588749111398717,27.0,g13
